4770;SLC22A1;solute carrier family 22 member 1
4774;SLC22A5;solute carrier family 22 member 5
4829;SOD1;superoxide dismutase 1
4853;SPAG1;sperm associated antigen 1
4873;SPRR2B;small proline rich protein 2B
4895;SRP9;signal recognition particle 9
4935;STAT2;signal transducer and activator of transcription 2
4936;STAT3;signal transducer and activator of transcription 3
4937;STAT4;signal transducer and activator of transcription 4
4939;STAT5B;signal transducer and activator of transcription 5B
4940;STAT6;signal transducer and activator of transcription 6
4999;TAC1;tachykinin precursor 1
5004;TACR1;tachykinin receptor 1
5011;TAGLN;transgelin
5023;TALDO1;transaldolase 1
5026;TAP2;transporter 2, ATP binding cassette subfamily B member
5034;TBX1;T-box transcription factor 1
5039;TBCD;tubulin folding cofactor D
5103;TDGF1;teratocarcinoma-derived growth factor 1
5138;TFRC;transferrin receptor
5141;TGFB1;transforming growth factor beta 1
5143;TGFB2;transforming growth factor beta 2
5151;TGIF1;TGFB induced factor homeobox 1
5175;TIMP1;TIMP metallopeptidase inhibitor 1
5177;TIMP3;TIMP metallopeptidase inhibitor 3
5179;NKX2-1;NK2 homeobox 1
5180;TJP1;tight junction protein 1
5193;TLR1;toll like receptor 1
5194;TLR2;toll like receptor 2
5195;TLR3;toll like receptor 3
5196;TLR4;toll like receptor 4
5215;TNF;tumor necrosis factor
5233;TNS1;tensin 1
5259;TPSAB1;tryptase alpha/beta 1
5260;TPT1;tumor protein, translationally-controlled 1
5334;HIRA;histone cell cycle regulator
5336;TNFSF4;TNF superfamily member 4
5377;UCN;urocortin
5381;UFD1;ubiquitin recognition factor in ER associated degradation 1
5383;SCGB1A1;secretoglobin family 1A member 1
5426;VCAM1;vascular cell adhesion molecule 1
5433;VDR;vitamin D receptor
5434;VEGFA;vascular endothelial growth factor A
5442;VIP;vasoactive intestinal peptide
5491;XDH;xanthine dehydrogenase
5523;ZIC2;Zic family member 2
5580;ZBTB16;zinc finger and BTB domain containing 16
5637;EVI5;ecotropic viral integration site 5
5638;DAP3;death associated protein 3
5646;ALMS1;ALMS1 centrosome and basal body associated protein
5681;DDX39B;DExD-box helicase 39B
5693;PLA2G7;phospholipase A2 group VII
5805;GATD3A;glutamine amidotransferase like class 1 domain containing 3A
5809;LZTR1;leucine zipper like transcription regulator 1
5952;ATRN;attractin
5967;GPR65;G protein-coupled receptor 65
5969;OFD1;OFD1 centriole and centriolar satellite protein
5999;ITGA8;integrin subunit alpha 8
6027;AP3B1;adaptor related protein complex 3 subunit beta 1
6074;CDK13;cyclin dependent kinase 13
6100;SOCS1;suppressor of cytokine signaling 1
6135;DNAH11;dynein axonemal heavy chain 11
